DATE;CLVMNACSCAB1GQUK
01/01/1975;180439.2
01/04/1975;177473.9
01/07/1975;176889.9
01/10/1975;178909.7
01/01/1976;181756.4
01/04/1976;181440.3
01/07/1976;183704.9
01/10/1976;187580.5
01/01/1977;187686.2
01/04/1977;186302.2
01/07/1977;187603.7
01/10/1977;190834.2
01/01/1978;192486.9
01/04/1978;194828.4
01/07/1978;197461
01/10/1978;199265.8
01/01/1979;198489
01/04/1979;207290.5
01/07/1979;202734.5
01/10/1979;204862.8
01/01/1980;202860.5
01/04/1980;198859.8
01/07/1980;198629
01/10/1980;196534
01/01/1981;196208.7
01/04/1981;196674.9
01/07/1981;198812.5
01/10/1981;199043.3
01/01/1982;199371.5
01/04/1982;201603.6
01/07/1982;202119.9
01/10/1982;203542.8
01/01/1983;207235.8
01/04/1983;209007.2
01/07/1983;211311.6
01/10/1983;213138.7
01/01/1984;214604.2
01/04/1984;212735.4
01/07/1984;214119.4
01/10/1984;218370.4
01/01/1985;220210.4
01/04/1985;224906.4
01/07/1985;225117.8
01/10/1985;225667.4
01/01/1986;228199
01/04/1986;229863.8
01/07/1986;230881.6
01/10/1986;234948.2
01/01/1987;237054.2
01/04/1987;240483
01/07/1987;246295.1
01/10/1987;249087.1
01/01/1988;253563.4
01/04/1988;255079
01/07/1988;258981.5
01/10/1988;261215.4
01/01/1989;262351
01/04/1989;264059.3
01/07/1989;264312.4
01/10/1989;264551.6
01/01/1990;266332.3
01/04/1990;267702.3
01/07/1990;264923.3
01/10/1990;264039
01/01/1991;263295.5
01/04/1991;262976.7
01/07/1991;262376.9
01/10/1991;262797.8
01/01/1992;262782.9
01/04/1992;262459.4
01/07/1992;264139.1
01/10/1992;265997.6
01/01/1993;267944.2
01/04/1993;269306.9
01/07/1993;271473.2
01/10/1993;273323.4
01/01/1994;276610.4
01/04/1994;279820.4
01/07/1994;282996.2
01/10/1994;284604.5
01/01/1995;284177.3
01/04/1995;285202.4
01/07/1995;288004.1
01/10/1995;288815.5
01/01/1996;291419.8
01/04/1996;292347.6
01/07/1996;294344.3
01/10/1996;297146.8
01/01/1997;302874.8
01/04/1997;305551.9
01/07/1997;307051
01/10/1997;310235.6
01/01/1998;312592.5
01/04/1998;315426.9
01/07/1998;317778.3
01/10/1998;320870.1
01/01/1999;322683
01/04/1999;322883.2
01/07/1999;328645.7
01/10/1999;333163.8
01/01/2000;335975.5
01/04/2000;338029.5
01/07/2000;338978.2
01/10/2000;339542.2
01/01/2001;344025.8
01/04/2001;346732.9
01/07/2001;349316.2
01/10/2001;350872.6
01/01/2002;352539.1
01/04/2002;354864.1
01/07/2002;357553.9
01/10/2002;360760.4
01/01/2003;363131.8
01/04/2003;366569.3
01/07/2003;370317.9
01/10/2003;373309.7
01/01/2004;375352.7
01/04/2004;376790.9
01/07/2004;377412.1
01/10/2004;378363.6
01/01/2005;381950.3
01/04/2005;386186.5
01/07/2005;390704.6
01/10/2005;396558.1
01/01/2006;397614.2
01/04/2006;398500.2
01/07/2006;398755.8
01/10/2006;400162.1
01/01/2007;404143.6
01/04/2007;407059.9
01/07/2007;410507.4
01/10/2007;413923.1
01/01/2008;415396.7
01/04/2008;412322.1
01/07/2008;405531.7
01/10/2008;396725.5
01/01/2009;390129.7
01/04/2009;389390.2
01/07/2009;389944.2
01/10/2009;391294.1
01/01/2010;393058.8
01/04/2010;396434.4
01/07/2010;398726.7
01/10/2010;399246.1
01/01/2011;402238.8
01/04/2011;402832.8
01/07/2011;403917.1
01/10/2011;404587.5
01/01/2012;407208.1
01/04/2012;406988.9
01/07/2012;411835.5
01/10/2012;410893.1
01/01/2013;413550.1
01/04/2013;415817.8
01/07/2013;419545.5
01/10/2013;421508.5
01/01/2014;425041.5
01/04/2014;428579.1
01/07/2014;431582.7
01/10/2014;434455.3
01/01/2015;436382.9
01/04/2015;438866.2
01/07/2015;440765.5
01/10/2015;444041.1
01/01/2016;445481
01/04/2016;446177.8
01/07/2016;448282.7
01/10/2016;451606.5
01/01/2017;453585
01/04/2017;454764.8
01/07/2017;456359.4
01/10/2017;458033.1
01/01/2018;458457
01/04/2018;460303.5